id,name,address,phone,yelpRating,foodType,createdAt,updatedAt
141,GUSTA Sandwiches,"SoDo, Seattle, WA 98134",4156800753,5,"Food Trucks, foodtrucks, Italian, italian, Sandwiches, sandwiches",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
142,Que Tacos,"5100 25th Ave NE, Ravenna, Seattle, WA 98105",2063277103,4,"Food Trucks, foodtrucks, Mexican, mexican",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
143,Red Cow,"1423 34th Ave, Madrona, Seattle, WA 98122",2064547932,4,"French, french, Steakhouses, steak",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
144,9 Million In Unmarked Bills,"3507 Fremont Pl N, Fremont, Seattle, WA 98103",2066320880,4,"Gastropubs, gastropubs",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
145,I Love My GFF,"Queen Anne, Seattle, WA 98109",2062651798,5,"Gluten-Free, gluten_free, Vegetarian, vegetarian, Food Stands, foodstands",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
146,Kokoras Greek Grill,"6400 1/2 California Ave SW, Gatewood, Seattle, WA 98136",2069130041,5,"Greek, greek, Mediterranean, mediterranean",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
147,Vios Cafթ,"903 19th Ave E, Capitol Hill, Seattle, WA 98112",2063293236,4,"Greek, greek, Mediterranean, mediterranean, American (Traditional), tradamerican",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
148,Cone & Steiner,"532 19th Ave E, Capitol Hill, Seattle, WA 98112",2065821928,4,"Grocery, grocery",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
149,Grocery Outlet,"8700 15th Ave NW, Crown Hill, Seattle, WA 98117",2067821079,5,"Grocery, grocery",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
150,Safeway,"3900 S Othello St, Beacon Hill, Seattle, WA 98118",2067225552,2,"Grocery, grocery",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
151,Safeway,"12318 15th Ave NE, Seattle, WA 98125",2063645132,3,"Grocery, grocery, Drugstores, drugstores",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
152,Diggity Dog,"8317 Greenwood Ave N, Phinney Ridge, Seattle, WA 98103",2067834492,5,"Hot Dogs, hotdog",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
153,Matts Famous Chili Dogs,"6615 E Marginal Way S, Georgetown, Seattle, WA 98108",2067680418,4,"Hot Dogs, hotdog, Burgers, burgers, American (Traditional), tradamerican",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
154,Shultzys Sausage,"4114 University Way NE, University District, Seattle, WA 98105",2065489461,4,"Hot Dogs, hotdog, German, german, Pubs, pubs",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
155,Aqua Quip,"8005 161st Ave NE, Redmond, WA 98052",4258951997,5,"Hot Tub & Pool, hottubandpool, Pool Cleaners, poolcleaners, Contractors, contractors",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
156,Shawn ODonnells American Grill & Irish Pub,"508 2nd Ave, Pioneer Square, Seattle, WA 98104",2066026380,5,"Irish, irish, Burgers, burgers, Fish & Chips, fishnchips",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
157,Murphys Pub,"1928 N 45th St, Wallingford, Seattle, WA 98103",2066342110,3,"Irish, irish, Irish Pub, irish_pubs",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
158,Bellini Italian Bistro,"2302 1st Ave, Belltown, Seattle, WA 98121",2064414480,4,"Italian, italian",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
159,La Medusa,"4857 Rainier Ave S, Columbia City, Seattle, WA 98118",2067232192,4,"Italian, italian",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
160,Piatti,"2695 NE Village Ln, University District, Seattle, WA 98105",2065249088,4,"Italian, italian",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
161,Ristorante Picolinos,"6415 32nd Ave NW, Ballard, Seattle, WA 98107",2067818000,4,"Italian, italian, Breakfast & Brunch, breakfast_brunch, Pizza, pizza",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
162,Lucianos Pizza & Pasta,"11064 Lake City Way NE, Seattle, WA 98125",2063676600,3,"Italian, italian, Pizza, pizza",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
163,Thats Amore! Italian Cafe,"1425 31st Ave S, Mount Baker, Seattle, WA 98144",2063223677,4,"Italian, italian, Pizza, pizza",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
164,White Center Pizza & Spaghetti House,"10231 16th Ave SW, White Center, Seattle, WA 98146",2067676976,4,"Italian, italian, Pizza, pizza, Sandwiches, sandwiches",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
165,Teriyaki Time,"3008 NE 127th St, Olympic Hills, Seattle, WA 98125",2063675003,3,"Japanese, japanese",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
166,Toshis Teriyaki,"9029 25th Ave SW, Roxhill, Seattle, WA 98106",2069379442,4,"Japanese, japanese",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
167,Jus Bar,"4908 Rainier Ave S, Ste A, Columbia City, Seattle, WA 98118",2064202535,4,"Juice Bars & Smoothies, juicebars, Cafes, cafes, Sandwiches, sandwiches",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
168,Macs Triangle Pub,"9454 Delridge Way SW, Westwood, Seattle, WA 98106",2067630714,4,"Karaoke, karaoke, Pubs, pubs, Sports Bars, sportsbars",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
169,Marination Ma Kai,"1660 Harbor Ave SW, Seattle, WA 98126",2063288226,4,"Korean, korean, Hawaiian, hawaiian, Asian Fusion, asianfusion",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
170,Cafe Munir,"2408 NW 80th St, Ballard, Seattle, WA 98117",2067834190,5,"Lebanese, lebanese",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
171,Feedback Lounge,"6451 California Ave SW, Seaview, Seattle, WA 98136",2064533259,4,"Lounges, lounges",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
172,The BottleNeck Lounge,"2328 E Madison St, Madison Valley, Seattle, WA 98138",2063231098,4,"Lounges, lounges",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
173,Liberty,"517 15th Ave E, Capitol Hill, Seattle, WA 98112",2063239898,4,"Lounges, lounges, Coffee & Tea, coffee, Sushi Bars, sushi",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
174,Satay,"1711 N 45th St, Wallingford, Seattle, WA 98103",2065470597,4,"Malaysian, malaysian, Singaporean, singaporean, Asian Fusion, asianfusion",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
175,Sunset Gyro,"354 Sunset Blvd N, Renton, WA 98057",4252645088,5,"Mediterranean, mediterranean",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
176,Hummus Cafe,"8420 Greenwood Ave N, Phinney Ridge, Seattle, WA 98103",2067069300,5,"Mediterranean, mediterranean, Egyptian, egyptian",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
177,Burrito Loco,"9211 Holman Rd NW, Crown Hill, Seattle, WA 98117",2067830719,3,"Mexican, mexican",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
178,Cocina Esperanza,"3127 NW 85th St, Ballard, Seattle, WA 98117",2067837020,4,"Mexican, mexican",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
179,Fonda La Catrina,"5905 Airport Way S, Georgetown, Seattle, WA 98108",2067672787,4,"Mexican, mexican",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
180,Joses Taqueria,"12336 Lake City Way NE, Seattle, WA 98125",,4,"Mexican, mexican",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
181,Los Agaves,"Pike Place Market, 1514 Pike Pl, Ste 7, Downtown, Seattle, WA 98101",2063444000,4,"Mexican, mexican",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
182,Milagro Cantina,"148 Lake St S, Kirkland, WA 98033",4259526270,3,"Mexican, mexican",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
183,Nanas Family Mexican Kitchen & Cantina,"1825 Queen Anne Ave, Queen Anne, Seattle, WA 98109",2069223340,4,"Mexican, mexican",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
184,Pecado Bueno,"4523 California Ave SW, Junction, Seattle, WA 98116",2064025107,3,"Mexican, mexican",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
185,Guadalupe Market,"1111 SW 128th St, Shorewood, Burien, WA 98146",2069011529,4,"Mexican, mexican, Bakeries, bakeries, Grocery, grocery",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
186,Tacos El Asadero,"7300 Martin Luther King Jr Way S, Brighton, Seattle, WA 98118",2067609903,5,"Mexican, mexican, Food Trucks, foodtrucks",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
187,Lake City Gyros,"12336 Lake City Way NE, Seattle, WA 98125",2064170671,5,"Middle Eastern, mideastern, Mediterranean, mediterranean",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
188,Mawadda Cafe,"4433 S Graham St, Brighton, Seattle, WA 98118",2067600911,4,"Middle Eastern, mideastern, Mediterranean, mediterranean",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
189,Kasbah Moroccan Restaurant,"1471 NW 85th St, Phinney Ridge, Seattle, WA 98117",2067880777,3,"Moroccan, moroccan, Mediterranean, mediterranean, Middle Eastern, mideastern",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
190,Flying Squirrel Pizza Co,"4920 S Genesee St, Seward Park, Seattle, WA 98118",2067217620,4,"Pizza, pizza",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
191,Mamma Mia Pizzeria,"5301 Roosevelt Way NE, University District, Seattle, WA 98105",2065246459,3,"Pizza, pizza",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
192,Zeeks Pizza,"6459 California Ave SW, Seaview, Seattle, WA 98136",2065042662,3,"Pizza, pizza",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
193,Dominos Pizza,"6540 California Ave Sw, Unit B, Gatewood, Seattle, WA 98136",2069320995,3,"Pizza, pizza, Chicken Wings, chicken_wings, Sandwiches, sandwiches",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
194,Tuscan Stone Wood Fired Pizza,"2885 78th Ave SE, Mercer Island, WA 98040",4254409189,5,"Pizza, pizza, Food Stands, foodstands, Food Trucks, foodtrucks",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
195,The Independent Pizzeria,"4235 E Madison St, Madison Park, Seattle, WA 98112",2068606110,4,"Pizza, pizza, Italian, italian",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
196,Tutta Bella Neapolitan Pizzeria - Columbia City,"4918 Rainier Ave S, Columbia City, Seattle, WA 98118",2067213501,4,"Pizza, pizza, Italian, italian",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
197,Olympia Pizza & Pasta,"5605 Delridge Way SW, Cottage Grove, Seattle, WA 98106",2069337550,3,"Pizza, pizza, Italian, italian, Greek, greek",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
198,Barking Dog Alehouse,"705 NW 70th St, Phinney Ridge, Seattle, WA 98117",2067822974,4,"Pubs, pubs",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
199,Beveridge Place Pub,"6413 California Ave SW, Seaview, Seattle, WA 98136",2069329906,5,"Pubs, pubs",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
200,Dog & Pony Ale House,"351 Park Ave N, Renton, WA 98055",4252548080,4,"Pubs, pubs",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
201,The Canterbury Ale House,"534 15th Ave E, Capitol Hill, Seattle, WA 98112",2063253110,3,"Pubs, pubs, American (Traditional), tradamerican",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
202,Prost! West Seattle,"3407 California Ave SW, Admiral, Seattle, WA 98116",2064207174,4,"Pubs, pubs, German, german",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
203,Flatstick Pub,"15 Lake St, Ste 100, Kirkland, WA 98033",4252421618,5,"Pubs, pubs, Mini Golf, mini_golf",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
204,Watershed Pub and Kitchen,"10104 3rd Ave NE, Mapleleaf, Seattle, WA 98125",2067297433,4,"Pubs, pubs, Pizza, pizza, Sandwiches, sandwiches",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
205,Highliner Public House,"3909 18th Ave W, Interbay, Seattle, WA 98119",2062161254,4,"Pubs, pubs, Seafood, seafood, American (Traditional), tradamerican",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
206,PelMeni Dumpling Tzar,"3516 Fremont Pl, Fremont, Seattle, WA 98103",2065882570,4,"Russian, russian",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
207,Zoopa Organic,"393 Strander Blvd, Tukwila, WA 98188",2065750500,3,"Salad, salad, Bakeries, bakeries, Soup, soup",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
208,The Essential Baking Company,"2719 E Madison St, Capitol Hill, Seattle, WA 98112",2063280078,4,"Sandwiches, sandwiches, Bakeries, bakeries, Cafes, cafes",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
209,Scratch Deli,"1718 12th Ave, Capitol Hill, Seattle, WA 98122",2062574554,5,"Sandwiches, sandwiches, Delis, delis, Coffee & Tea, coffee",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
210,Fresh Fish Company,"2364 NW 80th St, Ballard, Seattle, WA 98117",2067821632,5,"Seafood Markets, seafoodmarkets",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
211,Freshys Seafood Market,"2411 76th Ave SE, Mercer Island, WA 98040",2062323028,4,"Seafood Markets, seafoodmarkets, Fish & Chips, fishnchips, Seafood, seafood",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
212,Five Hooks Fish Grill,"2232 Queen Anne Ave N, Queen Anne, Seattle, WA 98109",2064031263,4,"Seafood, seafood",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
213,Olde 99 Pub,"7305 Aurora Ave N, Phinney Ridge, Seattle, WA 98103",2066877047,4,"Sports Bars, sportsbars, American (Traditional), tradamerican",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
214,Kavu,"5419 Ballard Ave NW, Ballard, Seattle, WA 98107",2067830060,5,"Sports Wear, sportswear",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
215,Patagonia,"2100 1st Ave, Belltown, Seattle, WA 98121",2066229700,4,"Sports Wear, sportswear, Outdoor Gear, outdoorgear",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
216,Wabi Sabi,"4909 Rainier Ave S, Columbia City, Seattle, WA 98118",2067210212,4,"Sushi Bars, sushi, Japanese, japanese",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
217,Yumbit,"4311 University Way NE, University District, Seattle, WA 98105",2066321876,4,"Taiwanese, taiwanese, Chinese, chinese",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
218,Chaiyo Thai Cuisine,"11749 15th Ave NE, Pinehurst, Seattle, WA 98125",2063618888,4,"Thai, thai",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
219,Isarn Thai Soul Kitchen,"170 Lake St S, Kirkland, WA 98033",4252984429,4,"Thai, thai",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
220,Thai Fusion Bistro,"323 NE Thornton Pl, Mapleleaf, Seattle, WA 98125",2062680787,4,"Thai, thai",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
221,Thai One On,"12343 Lake City Way NE, Seattle, WA 98125",2063626999,4,"Thai, thai",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
222,The Patio Fine Thai Cuisine,"524 15th Ave E, Capitol Hill, Seattle, WA 98112",2063282406,4,"Thai, thai",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
223,Vatsana Thai Restaurant,"9025 25th Ave SW, Roxhill, Seattle, WA 98106",2069372794,3,"Thai, thai",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
224,Little Uncle,"1509 E Madison St, Central District, Seattle, WA 98122",2063291503,4,"Thai, thai, Food Stands, foodstands",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
225,Thai-U-Up,"2839 SW Roxbury St, White Center, Seattle, WA 98126",2066693070,4,"Thai, thai, Food Trucks, foodtrucks",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
226,The Thaitan Restaurant,"5258 California Ave SW, Fairmount Park, Seattle, WA 98136",2069321945,4,"Thai, thai, Vietnamese, vietnamese",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
227,juicebox,"1517 12th Ave, Ste 100, Capitol Hill, Seattle, WA 98122",2066077866,4,"Vegetarian, vegetarian, Juice Bars & Smoothies, juicebars, Gluten-Free, gluten_free",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
228,Pho Binh,"13310 Lake City Way NE, Seattle, WA 98125",2063615144,4,"Vietnamese, vietnamese",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
229,Pho Thien Phu,"1400 S Jackson St, Central District, Seattle, WA 98144",2063287311,4,"Vietnamese, vietnamese",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
230,Monsoon Restaurant,"615 19th Ave E, Capitol Hill, Seattle, WA 98112",2063252111,4,"Vietnamese, vietnamese, Asian Fusion, asianfusion, Dim Sum, dimsum",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
231,Pho Aroma,"5605 Delridge Way SW, Ste A, Cottage Grove, Seattle, WA 98106",2069324343,4,"Vietnamese, vietnamese, Sandwiches, sandwiches",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
232,POCO Wine + Spirits,"1408 E Pine St, Capitol Hill, Seattle, WA 98122",2063229463,4,"Wine Bars, wine_bars, American (New), newamerican, Lounges, lounges",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
233,Portalis Wine Shop,"6754 15th Ave NW, Phinney Ridge, Seattle, WA 98117",2067832007,4,"Wine Bars, wine_bars, Mediterranean, mediterranean, Gastropubs, gastropubs",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
234,Bottlehouse,"1416 34th Ave, Madrona, Seattle, WA 98122",2067087164,5,"Wine Bars, wine_bars, Tapas/Small Plates, tapasmallplates",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
